AENC;NUMC;NIND;ELEP;TH;CAPITAL;SEXO;EDAD;LNAC;NACI;NIVI;LEST3;RELA;TIPF;TGRU;SVIDA;SRELA;STGUS;SECON;SVIVI;SZONA;SRECR;STRAB;STIEM;MERECE;HABLAR;AYFAM;TENSO;MORAL;CALMA;DEPRE;FELIZ;CPER;CPOL;CJUS;CERTZ;SENSE;SVIVENT;SHOGTR;ANIMO;RELPER;CPUBLI;SITEC1;SAPER;RELFA1
2024;794;1;551,02513;01;01059;1;02;5;1;;1;1;4;2;10;10;10;8;7;7;7;8;8;10;1;1;3;3;2;3;1;7;0;10;10;1;7;8;6;8;7;1;2;1
2024;796;1;183,67504;01;01059;1;02;1;1;;3;3;1;1;6;5;7;7;6;6;6;97;;5;1;1;3;3;3;3;5;6;0;4;6;3;6;7;4;7;3;2;2;1
2024;797;1;324,93427;01;01059;1;04;1;1;;3;3;3;3;8;8;7;7;8;7;5;97;;7;1;1;3;3;2;3;2;6;4;6;5;2;7;7;6;8;5;2;1;1
2024;799;1;239,94719;01;01059;1;06;4;1;;1;1;3;3;8;10;8;5;6;6;6;7;10;9;1;1;3;3;3;3;2;7;4;2;5;2;6;7;5;8;4;2;3;1
2024;801;1;239,94719;01;01059;1;06;4;1;;2;3;3;3;7;7;8;7;8;8;8;97;;8;1;1;5;5;2;5;1;4;0;0;7;2;8;7;9;7;2;3;2;1
2024;802;2;284,87943;01;01059;6;07;1;1;;1;3;3;3;10;10;5;10;10;6;8;97;;9;1;1;5;4;1;5;1;3;10;9;2;2;8;10;9;8;7;3;2;1
2024;803;1;239,94719;01;01059;1;07;1;1;;3;3;3;3;8;8;8;8;8;8;8;97;;8;1;1;2;4;3;3;2;10;5;5;10;1;8;8;5;8;7;3;2;1
2024;804;1;161,84980;01;01059;6;05;5;1;;1;1;1;1;7;7;5;7;9;10;10;10;8;8;1;1;2;2;3;2;5;4;3;8;7;2;9;8;3;7;6;1;1;1
2024;805;1;142,43972;01;01059;6;07;1;1;;1;3;1;1;10;10;10;10;10;10;10;97;;8;1;1;4;4;2;4;2;10;5;8;8;1;10;10;7;8;7;3;1;1
2024;806;1;649,86853;01;01059;1;04;1;1;;3;1;4;2;8;8;7;8;8;8;8;8;9;8;1;1;3;3;2;3;2;8;4;6;6;2;8;8;6;8;5;1;2;2
2024;807;1;323,69960;01;01059;6;05;1;1;;3;3;5;4;10;10;9;9;9;8;8;97;;8;1;1;4;4;2;4;2;7;6;8;7;2;8;9;7;8;7;3;1;4
2024;808;2;284,87943;01;01059;6;06;4;1;;3;1;3;3;9;9;9;9;9;4;7;10;9;8;1;2;4;4;2;4;2;5;0;3;6;1;7;9;7;6;3;2;2;3
2024;809;2;239,94719;01;01059;1;06;1;1;;3;3;3;3;7;8;3;7;7;7;6;97;;7;1;1;3;3;2;3;2;6;5;5;5;3;6;7;6;8;5;3;3;2
2024;810;3;395,54495;01;01059;6;01;1;1;;3;3;4;2;6;6;6;6;6;6;6;97;;6;1;1;3;3;3;3;3;5;5;5;5;4;5;6;5;7;5;1;2;1
2024;811;1;142,43972;01;01059;6;06;1;1;;3;3;1;1;8;9;8;8;9;8;8;97;;9;1;1;3;3;2;3;3;8;2;4;7;4;7;8;5;8;4;3;2;1
2024;812;1;161,84980;01;01059;6;05;1;1;;3;2;1;1;7;7;10;4;10;10;10;97;;6;1;1;3;4;2;3;4;6;2;6;6;2;9;4;5;7;5;1;2;1
2024;814;3;456,13647;01;01059;6;02;1;1;;3;1;4;2;9;9;9;9;9;9;9;7;5;8;1;1;5;5;1;5;1;10;6;8;9;4;7;7;9;8;8;3;1;1
2024;815;4;527,39327;01;01059;6;01;1;1;;2;3;4;2;8;8;8;7;9;9;7;97;;8;1;1;3;4;2;3;2;5;3;1;5;3;7;7;6;8;3;1;1;4
2024;816;1;284,87943;01;01059;6;06;1;1;;2;3;2;5;7;6;8;7;8;8;8;97;;7;2;2;2;3;3;4;4;0;5;6;7;3;7;7;5;4;6;1;2;3
2024;817;1;142,43972;01;01059;6;07;1;1;;1;3;1;1;5;5;5;5;7;7;5;97;;5;2;2;2;2;4;2;4;5;5;5;5;4;5;5;3;3;5;1;3;1
